v,vw,o,c,h,l,t,n
78251328.0,173.4143,174.03,174.31,174.88,171.94,1648785600000,661160
76545983.0,177.4855,174.57,178.44,178.49,174.44,1649044800000,630374
73401786.0,175.9791,177.5,175.06,178.3,174.415,1649131200000,621541
89058782.0,171.7887,172.36,171.83,173.63,170.13,1649217600000,769485
77594650.0,171.8049,171.16,172.14,173.36,169.85,1649304000000,628352
76534208.0,170.5154,171.78,170.09,171.78,169.2,1649390400000,614848
72246706.0,166.692,168.71,165.75,169.03,165.5,1649649600000,677210
79265181.0,168.0916,168.02,167.66,169.87,166.64,1649736000000,678461
70618925.0,169.6805,167.39,170.4,171.04,166.77,1649822400000,558072
75069376.0,167.2264,170.62,165.29,171.27,165.04,1649908800000,596848
69023941.0,164.9284,163.92,165.07,166.5984,163.57,1650254400000,576791
67723833.0,166.5491,165.02,167.4,167.82,163.91,1650340800000,548306
67929814.0,167.3492,168.76,167.23,168.88,166.1,1650427200000,595063
87227768.0,168.8014,168.91,166.42,171.53,165.91,1650513600000,752017
84875424.0,164.2289,166.46,161.79,167.8699,161.5,1650600000000,730001
96017376.0,160.7032,161.12,162.88,163.17,158.46,1650859200000,925124
95595226.0,158.6074,162.25,156.8,162.34,156.72,1650945600000,899965
88063191.0,157.4448,155.91,156.57,159.79,155.38,1651032000000,777860
130149192.0,161.8622,159.25,163.64,164.515,158.93,1651118400000,1126019
131747495.0,160.7133,161.84,157.65,166.2,157.25,1651204800000,1032218
123050000.0,156.0357,156.71,157.96,158.23,153.27,1651464000000,1154671
88966526.0,158.8014,158.15,159.48,160.71,156.32,1651550400000,706626
108206503.0,162.4245,159.67,166.02,166.48,159.26,1651636800000,873681
130419230.0,158.143,163.85,156.77,164.08,154.95,1651723200000,1164746
115494647.0,157.3298,156.01,157.28,159.44,154.18,1651809600000,1023008
131577921.0,153.1029,154.925,152.06,155.83,151.49,1652068800000,1103707
115366736.0,154.8376,155.52,154.51,156.74,152.93,1652155200000,988257
142547625.0,149.4468,153.5,146.5,155.45,145.81,1652241600000,1310796
182408091.0,142.066,142.77,142.56,146.2,138.8,1652328000000,1678454
113990852.0,146.3255,144.59,147.11,148.105,143.11,1652414400000,920506
86643781.0,145.7814,145.55,145.54,147.5199,144.18,1652673600000,699719
78138254.0,148.443,148.86,149.24,149.77,146.68,1652760000000,609263
109742890.0,142.6901,146.85,140.82,147.3601,139.9,1652846400000,982288
135863540.0,138.66,139.88,137.35,141.66,136.6,1652932800000,1219746
137392625.0,136.397,139.09,137.59,140.7,132.61,1653019200000,1133362
117726265.0,141.4344,137.79,143.11,143.26,137.65,1653278400000,851032
104132746.0,139.4136,140.805,140.36,141.97,137.33,1653364800000,812515
92482696.0,140.0769,138.43,140.52,141.785,138.34,1653451200000,688316
90601098.0,142.3902,137.39,143.78,144.34,137.14,1653537600000,670652
91425110.0,148.1995,145.39,149.64,149.68,145.26,1653624000000,686376
103718416.0,149.0998,149.07,148.84,150.66,146.84,1653969600000,706652
74286635.0,149.3747,149.9,148.71,151.74,147.68,1654056000000,629251
